analysis_family,spec_id,description,N_consumers,N_obs,predictor,outcome,beta_B,SE_B,beta_W,SE_W,cov_BW,CDI,SE_CDI,CI_low,CI_high,CDI_star,p_value,bootstrap_B,bootstrap_seed,representation,time_metric,activity_adjustment,sample_rule,evidence_role
Competing generative regimes,SIM_BASELINE_SLOW_MEMORY_S23,regime=baseline_slow_memory seed=23; split_half_signature=-0.5468343078021746; source=frozen_simA_seeds; CI_excludes_zero=True; GENERATIVE module (not mechanism validation),25467,,simulated maxshare analog,simulated entropy analog,-4.767007634169651,0.032359504141832356,-5.007118389090306,0.02329781020730382,,0.24011075492065537,0.049274303977819706,0.14353311912412875,0.336688390717182,NOT_COMPUTED_DEFINITION_NOT_ARCHIVED,1.0994930571459115e-06,,,simulated panel,simulated periods,none,simulation N=25467 T=100 K=1000,generative_simulation
Competing generative regimes,SIM_BASELINE_SLOW_MEMORY_S42,regime=baseline_slow_memory seed=42; split_half_signature=-0.5428599316916373; source=frozen_simA_seeds; CI_excludes_zero=True; GENERATIVE module (not mechanism validation),25467,,simulated maxshare analog,simulated entropy analog,-4.797707379012183,0.03332859134114573,-4.977598277964643,0.025306530387914628,,0.17989089895245947,0.0521228888373107,0.07773003683133049,0.2820517610735884,NOT_COMPUTED_DEFINITION_NOT_ARCHIVED,0.0005579258801531098,,,simulated panel,simulated periods,none,simulation N=25467 T=100 K=1000,generative_simulation
Competing generative regimes,SIM_MATURATION_ONLY_M0.01_S11,regime=maturation_only m_rate=0.01 seed=11; split_half_signature=0.1716958654612911; source=sim_mat_results.json; CI_excludes_zero=True; GENERATIVE module (not mechanism validation),25467,,simulated maxshare analog,simulated entropy analog,-14.609328638907566,0.19854169434207022,-5.199310957647908,0.07546821061778952,,-9.410017681259658,0.14427407417423718,-9.692794866641163,-9.127240495878153,NOT_COMPUTED_DEFINITION_NOT_ARCHIVED,0.0,,,simulated panel,simulated periods,none,simulation N=25467 T=100 K=1000,generative_simulation
Competing generative regimes,SIM_MATURATION_ONLY_M0.01_S23,regime=maturation_only m_rate=0.01 seed=23; split_half_signature=0.1899065302383242; source=sim_mat_results.json; CI_excludes_zero=True; GENERATIVE module (not mechanism validation),25467,,simulated maxshare analog,simulated entropy analog,-14.680972262593817,0.20441633841974413,-5.223094043752031,0.07617729021815357,,-9.457878218841786,0.15182149707502407,-9.755448353108834,-9.160308084574739,NOT_COMPUTED_DEFINITION_NOT_ARCHIVED,0.0,,,simulated panel,simulated periods,none,simulation N=25467 T=100 K=1000,generative_simulation
Competing generative regimes,SIM_MATURATION_ONLY_M0.01_S42,regime=maturation_only m_rate=0.01 seed=42; split_half_signature=0.18339740041259925; source=sim_mat_results.json; CI_excludes_zero=True; GENERATIVE module (not mechanism validation),25467,,simulated maxshare analog,simulated entropy analog,-14.622178368649436,0.20903978541666013,-5.195784475936325,0.07877649731434629,,-9.426393892713111,0.15375118598295226,-9.727746217239698,-9.125041568186525,NOT_COMPUTED_DEFINITION_NOT_ARCHIVED,0.0,,,simulated panel,simulated periods,none,simulation N=25467 T=100 K=1000,generative_simulation
Competing generative regimes,SIM_MATURATION_ONLY_M0.01_S7,regime=maturation_only m_rate=0.01 seed=7; split_half_signature=0.1875349552135958; source=sim_mat_results.json; CI_excludes_zero=True; GENERATIVE module (not mechanism validation),25467,,simulated maxshare analog,simulated entropy analog,-14.618335188637737,0.211890735550636,-5.2227924949469955,0.07963878120182859,,-9.395542693690741,0.15212967785032194,-9.693716862277372,-9.09736852510411,NOT_COMPUTED_DEFINITION_NOT_ARCHIVED,0.0,,,simulated panel,simulated periods,none,simulation N=25467 T=100 K=1000,generative_simulation
Competing generative regimes,SIM_MATURATION_ONLY_M0.03_S11,regime=maturation_only m_rate=0.03 seed=11; split_half_signature=0.20287783875399676; source=sim_mat_results.json; CI_excludes_zero=True; GENERATIVE module (not mechanism validation),25467,,simulated maxshare analog,simulated entropy analog,-14.474651782151854,0.18886400002052944,-5.0849753918736225,0.07148818506652621,,-9.389676390278233,0.13689331824208587,-9.65798729403272,-9.121365486523745,NOT_COMPUTED_DEFINITION_NOT_ARCHIVED,0.0,,,simulated panel,simulated periods,none,simulation N=25467 T=100 K=1000,generative_simulation
Competing generative regimes,SIM_MATURATION_ONLY_M0.03_S23,regime=maturation_only m_rate=0.03 seed=23; split_half_signature=0.20639478664903393; source=sim_mat_results.json; CI_excludes_zero=True; GENERATIVE module (not mechanism validation),25467,,simulated maxshare analog,simulated entropy analog,-14.516037343876004,0.20840875823429691,-5.103404837202527,0.07140888423169998,,-9.412632506673477,0.15869023958153697,-9.723665376253289,-9.101599637093665,NOT_COMPUTED_DEFINITION_NOT_ARCHIVED,0.0,,,simulated panel,simulated periods,none,simulation N=25467 T=100 K=1000,generative_simulation
Competing generative regimes,SIM_MATURATION_ONLY_M0.03_S42,regime=maturation_only m_rate=0.03 seed=42; split_half_signature=0.20476572179574612; source=sim_mat_results.json; CI_excludes_zero=True; GENERATIVE module (not mechanism validation),25467,,simulated maxshare analog,simulated entropy analog,-14.840897282510847,0.19955393984989703,-5.218537614946486,0.07362893131643833,,-9.62235966756436,0.14943862408841768,-9.91525937077766,-9.329459964351061,NOT_COMPUTED_DEFINITION_NOT_ARCHIVED,0.0,,,simulated panel,simulated periods,none,simulation N=25467 T=100 K=1000,generative_simulation
Competing generative regimes,SIM_MATURATION_ONLY_M0.03_S7,regime=maturation_only m_rate=0.03 seed=7; split_half_signature=0.20828555227092857; source=sim_mat_results.json; CI_excludes_zero=True; GENERATIVE module (not mechanism validation),25467,,simulated maxshare analog,simulated entropy analog,-14.393654822520158,0.22387867988758012,-5.134249303205612,0.0757573388621222,,-9.259405519314546,0.16990167359191014,-9.59241279955469,-8.926398239074402,NOT_COMPUTED_DEFINITION_NOT_ARCHIVED,0.0,,,simulated panel,simulated periods,none,simulation N=25467 T=100 K=1000,generative_simulation
Competing generative regimes,SIM_MATURATION_ONLY_M0.1_S11,regime=maturation_only m_rate=0.1 seed=11; split_half_signature=0.2290902639893075; source=sim_mat_results.json; CI_excludes_zero=True; GENERATIVE module (not mechanism validation),25467,,simulated maxshare analog,simulated entropy analog,-14.295730488924828,0.19684537064438143,-4.9302104678546295,0.06783335121970813,,-9.3655200210702,0.14598408673824867,-9.651648831077168,-9.079391211063232,NOT_COMPUTED_DEFINITION_NOT_ARCHIVED,0.0,,,simulated panel,simulated periods,none,simulation N=25467 T=100 K=1000,generative_simulation
Competing generative regimes,SIM_MATURATION_ONLY_M0.1_S23,regime=maturation_only m_rate=0.1 seed=23; split_half_signature=0.24101922550657706; source=sim_mat_results.json; CI_excludes_zero=True; GENERATIVE module (not mechanism validation),25467,,simulated maxshare analog,simulated entropy analog,-14.759731298012657,0.2021270313470571,-5.043601595779854,0.06691615074448012,,-9.716129702232802,0.16014638200291076,-10.030016610958507,-9.402242793507098,NOT_COMPUTED_DEFINITION_NOT_ARCHIVED,0.0,,,simulated panel,simulated periods,none,simulation N=25467 T=100 K=1000,generative_simulation
Competing generative regimes,SIM_MATURATION_ONLY_M0.1_S42,regime=maturation_only m_rate=0.1 seed=42; split_half_signature=0.220242054994678; source=sim_mat_results.json; CI_excludes_zero=True; GENERATIVE module (not mechanism validation),25467,,simulated maxshare analog,simulated entropy analog,-14.348732631214625,0.20570775353170537,-4.948569387794732,0.06836262059690656,,-9.400163243419893,0.15563555480594213,-9.70520893083954,-9.095117556000247,NOT_COMPUTED_DEFINITION_NOT_ARCHIVED,0.0,,,simulated panel,simulated periods,none,simulation N=25467 T=100 K=1000,generative_simulation
Competing generative regimes,SIM_MATURATION_ONLY_M0.1_S7,regime=maturation_only m_rate=0.1 seed=7; split_half_signature=0.23312388992867655; source=sim_mat_results.json; CI_excludes_zero=True; GENERATIVE module (not mechanism validation),25467,,simulated maxshare analog,simulated entropy analog,-14.769853070292688,0.19094523907009034,-5.17633134425762,0.06818001880619133,,-9.593521726035068,0.1416675456938617,-9.871190115595036,-9.315853336475099,NOT_COMPUTED_DEFINITION_NOT_ARCHIVED,0.0,,,simulated panel,simulated periods,none,simulation N=25467 T=100 K=1000,generative_simulation
Competing generative regimes,SIM_REINFORCEMENT_PLUS_MATURATION_M0.01_S11,regime=reinforcement_plus_maturation m_rate=0.01 seed=11; split_half_signature=-0.571407835232944; source=sim_rm_results.json; CI_excludes_zero=True; GENERATIVE module (not mechanism validation),25467,,simulated maxshare analog,simulated entropy analog,-4.78385920790189,0.03350483126584093,-4.985164709984716,0.02404376499789416,,0.2013055020828256,0.05110927322271004,0.10113132656631392,0.3014796775993373,NOT_COMPUTED_DEFINITION_NOT_ARCHIVED,8.19148861655956e-05,,,simulated panel,simulated periods,none,simulation N=25467 T=100 K=1000,generative_simulation
Competing generative regimes,SIM_REINFORCEMENT_PLUS_MATURATION_M0.01_S23,regime=reinforcement_plus_maturation m_rate=0.01 seed=23; split_half_signature=-0.5625179295541816; source=sim_rm_results.json; CI_excludes_zero=True; GENERATIVE module (not mechanism validation),25467,,simulated maxshare analog,simulated entropy analog,-4.741009310483758,0.032776768848094925,-5.007003688309653,0.02344130830455251,,0.2659943778258951,0.05000061091691201,0.16799318042874753,0.3639955752230426,NOT_COMPUTED_DEFINITION_NOT_ARCHIVED,1.0386850682070176e-07,,,simulated panel,simulated periods,none,simulation N=25467 T=100 K=1000,generative_simulation
Competing generative regimes,SIM_REINFORCEMENT_PLUS_MATURATION_M0.01_S42,regime=reinforcement_plus_maturation m_rate=0.01 seed=42; split_half_signature=-0.5636195584439851; source=sim_rm_results.json; CI_excludes_zero=True; GENERATIVE module (not mechanism validation),25467,,simulated maxshare analog,simulated entropy analog,-4.769879849647155,0.034008858744288134,-4.996618290565076,0.025200718140293284,,0.22673844091792095,0.052990332668051275,0.12287738888854045,0.33059949294730145,NOT_COMPUTED_DEFINITION_NOT_ARCHIVED,1.8784936733444005e-05,,,simulated panel,simulated periods,none,simulation N=25467 T=100 K=1000,generative_simulation
Competing generative regimes,SIM_REINFORCEMENT_PLUS_MATURATION_M0.01_S7,regime=reinforcement_plus_maturation m_rate=0.01 seed=7; split_half_signature=-0.5604057884558845; source=sim_rm_results.json; CI_excludes_zero=True; GENERATIVE module (not mechanism validation),25467,,simulated maxshare analog,simulated entropy analog,-4.814239367367081,0.03351685502679895,-4.9388213396489995,0.025167399044595706,,0.12458197228191814,0.05226375864504,0.022145005337639745,0.22701893922619654,NOT_COMPUTED_DEFINITION_NOT_ARCHIVED,0.017138810207256206,,,simulated panel,simulated periods,none,simulation N=25467 T=100 K=1000,generative_simulation
Competing generative regimes,SIM_REINFORCEMENT_PLUS_MATURATION_M0.03_S11,regime=reinforcement_plus_maturation m_rate=0.03 seed=11; split_half_signature=-0.5523026799688905; source=sim_rm_results.json; CI_excludes_zero=True; GENERATIVE module (not mechanism validation),25467,,simulated maxshare analog,simulated entropy analog,-4.833227594271724,0.033816572148819314,-4.9502665018547685,0.023702162249065045,,0.11703890758304425,0.05142537653565981,0.01624516957315103,0.21783264559293747,NOT_COMPUTED_DEFINITION_NOT_ARCHIVED,0.022852119917741175,,,simulated panel,simulated periods,none,simulation N=25467 T=100 K=1000,generative_simulation
Competing generative regimes,SIM_REINFORCEMENT_PLUS_MATURATION_M0.03_S23,regime=reinforcement_plus_maturation m_rate=0.03 seed=23; split_half_signature=-0.5589678190257714; source=sim_rm_results.json; CI_excludes_zero=True; GENERATIVE module (not mechanism validation),25467,,simulated maxshare analog,simulated entropy analog,-4.787629416162936,0.03334757311744504,-4.993734930320027,0.02298753038890189,,0.2061055141570911,0.049998717086789886,0.10810802866698294,0.3041029996471993,NOT_COMPUTED_DEFINITION_NOT_ARCHIVED,3.75245007253789e-05,,,simulated panel,simulated periods,none,simulation N=25467 T=100 K=1000,generative_simulation
Competing generative regimes,SIM_REINFORCEMENT_PLUS_MATURATION_M0.03_S42,regime=reinforcement_plus_maturation m_rate=0.03 seed=42; split_half_signature=-0.5507775635744132; source=sim_rm_results.json; CI_excludes_zero=True; GENERATIVE module (not mechanism validation),25467,,simulated maxshare analog,simulated entropy analog,-4.794622797730873,0.033745625833691784,-4.95857517930876,0.025619764078684066,,0.16395238157788672,0.05319667775019687,0.05968689318750087,0.26821786996827257,NOT_COMPUTED_DEFINITION_NOT_ARCHIVED,0.0020561197105977524,,,simulated panel,simulated periods,none,simulation N=25467 T=100 K=1000,generative_simulation
Competing generative regimes,SIM_REINFORCEMENT_PLUS_MATURATION_M0.03_S7,regime=reinforcement_plus_maturation m_rate=0.03 seed=7; split_half_signature=-0.5530119048156867; source=sim_rm_results.json; CI_excludes_zero=True; GENERATIVE module (not mechanism validation),25467,,simulated maxshare analog,simulated entropy analog,-4.849837166071549,0.0341869922383995,-4.9580368496129354,0.02313686276194179,,0.1081996835413861,0.05118733155828296,0.0078725136871515,0.2085268533956207,NOT_COMPUTED_DEFINITION_NOT_ARCHIVED,0.03453251641204347,,,simulated panel,simulated periods,none,simulation N=25467 T=100 K=1000,generative_simulation
Competing generative regimes,SIM_REINFORCEMENT_PLUS_MATURATION_M0.1_S11,regime=reinforcement_plus_maturation m_rate=0.1 seed=11; split_half_signature=-0.5328829379669685; source=sim_rm_results.json; CI_excludes_zero=False; GENERATIVE module (not mechanism validation),25467,,simulated maxshare analog,simulated entropy analog,-4.8940814016439145,0.03422729948316137,-4.936529165278963,0.02363692255098889,,0.04244776363504865,0.05148440416299684,-0.058461668524425164,0.14335719579452247,NOT_COMPUTED_DEFINITION_NOT_ARCHIVED,0.40966795536797984,,,simulated panel,simulated periods,none,simulation N=25467 T=100 K=1000,generative_simulation
Competing generative regimes,SIM_REINFORCEMENT_PLUS_MATURATION_M0.1_S23,regime=reinforcement_plus_maturation m_rate=0.1 seed=23; split_half_signature=-0.5430476140825355; source=sim_rm_results.json; CI_excludes_zero=False; GENERATIVE module (not mechanism validation),25467,,simulated maxshare analog,simulated entropy analog,-4.853680114759497,0.033110937403845596,-4.934366522264346,0.02355378378348238,,0.08068640750484946,0.05024995153336977,-0.017803497500555293,0.1791763125102542,NOT_COMPUTED_DEFINITION_NOT_ARCHIVED,0.1083395773937461,,,simulated panel,simulated periods,none,simulation N=25467 T=100 K=1000,generative_simulation
Competing generative regimes,SIM_REINFORCEMENT_PLUS_MATURATION_M0.1_S42,regime=reinforcement_plus_maturation m_rate=0.1 seed=42; split_half_signature=-0.5394593217500945; source=sim_rm_results.json; CI_excludes_zero=False; GENERATIVE module (not mechanism validation),25467,,simulated maxshare analog,simulated entropy analog,-4.879671357783036,0.03383030361830821,-4.909729300168424,0.024916027542103415,,0.030057942385387726,0.0522536268040946,-0.07235916615063769,0.13247505092141315,NOT_COMPUTED_DEFINITION_NOT_ARCHIVED,0.5651346089148246,,,simulated panel,simulated periods,none,simulation N=25467 T=100 K=1000,generative_simulation
Competing generative regimes,SIM_REINFORCEMENT_PLUS_MATURATION_M0.1_S7,regime=reinforcement_plus_maturation m_rate=0.1 seed=7; split_half_signature=-0.5393634777657738; source=sim_rm_results.json; CI_excludes_zero=False; GENERATIVE module (not mechanism validation),25467,,simulated maxshare analog,simulated entropy analog,-4.897448894077908,0.03381450656832581,-4.89052807675184,0.024017524593116787,,-0.006920817326068196,0.05125621371821991,-0.10738299621377921,0.09354136156164282,NOT_COMPUTED_DEFINITION_NOT_ARCHIVED,0.892592924674986,,,simulated panel,simulated periods,none,simulation N=25467 T=100 K=1000,generative_simulation
Optional falsification,P7_WITHIN_PERMUTATION_B1000,"Within-person permutation falsification (computational pipeline validation, NOT a causal placebo); permutation CDI mean=-2.9958005826444167 SD=0.012330036207433306 range=[-3.0375875877809135, -2.961166966813596]; observed CDI at 100th percentile of permutation distribution (0/1000 reached)",60423,242771,maxshare (permuted within consumer),entropy,-2.9957316191056558,,-3.5131514880949752,,,0.5174198689893195,,,,0.11319907179393607,0.000999000999000999,1000,20260915,maxshare,none,none,MIN_RECORDS=20; >= 3 valid waves,pipeline_validation
Temporal portability,T2A_ELAPSED_MONTHS_CONT,"T2a elapsed time since first observation, continuous months (elapsed_months = (window_start_ts - user_tmin_ts)/86400/30.44; per-user relative clock); REWB + continuous elapsed months, uid-clustered OLS; CDI collapses to ~0 (BCa includes 0); Wald chi2(1)=0.0013750905970899244 p=0.97041945342527591; gamma_elapsed_months=-0.7516677806 (SE 0.0064856665); CI=BCa consumer-cluster bootstrap B=2000 seed=20260915; Wald95=[-0.0393056202,0.0378459250]",60423,242771,maxshare,entropy,-2.8510005762589627,0.018300278078604057,-2.8502707286353353,0.011040768239607052,3.4711203793413202e-05,-0.00072984762362748867,0.019681878301832011,-0.040235491317033398,0.036745087857810978,-0.00015967317549482645,0.97041945342527591,2000,20260915,maxshare,elapsed time since first observation (continuous months; per-user relative clock),none,MIN_RECORDS=20; >= 3 valid waves,new_result_sensitivity
Temporal portability,T2B_ELAPSED_MONTH_FE,"T2b elapsed time since first observation, integer-month FE (floor(elapsed_months); levels 0/1/2, ref=0; per-user relative clock); REWB + integer-month indicators, uid-clustered OLS; CDI ~ T0 baseline (functional-form sensitivity vs T2a); Wald chi2(1)=613.5884621548521 p=1.8546198298779079e-135; month cell obs 0/1/2 = 241686/1070/15 (month 2 sparse, kept unmerged; month_1=-0.1087864682 SE 0.0109217769 obs=1070 users=1068; month_2=-0.2200433952 SE 0.0599160078 obs=15 users=15); CI=BCa consumer-cluster bootstrap B=2000 seed=20260915; Wald95=[0.4775555058,0.5596213242]",60423,242771,maxshare,entropy,-2.990846814561773,0.019443856464046061,-3.5094352295843154,0.010959006783287796,2.9933222901883267e-05,0.51858841502254238,0.020935542459339505,0.47701360589245895,0.55871388956133383,0.11345472167179581,1.8546198298779079e-135,2000,20260915,maxshare,"elapsed time since first observation (integer-month FE, ref=0; per-user relative clock)",none,MIN_RECORDS=20; >= 3 valid waves,new_result_sensitivity
Temporal portability,T3_CALENDAR_PERIOD_FE,"NOT_IDENTIFIABLE_DATASET_PROPERTY: raw timestamps are per-user relative clocks (98.8448% of users tmin=0, max tmin=934s); no shared calendar axis across users; calendar-period FE structurally unidentifiable -- a dataset property, not a missing-data problem; E20F extraction closed the elapsed-time gap (T2) but cannot manufacture calendar time (T3) | verdict per 04_temporal_portability/results_temporal_portability.csv and temporal_report.md v2.3 (G line, 2026-09-20)",,,maxshare,entropy,,,,,,,,,,,,,,,calendar-period FE (calendar month of window midpoint),none,MIN_RECORDS=20; >= 3 valid waves,not_identifiable_verdict
Representation portability,R1_HHI_W10,"R1 HHI REWB independent re-run from enriched panel (entropy ~ 1 + mean_hhi_i + dev_hhi, cluster by uid); bit-level PASS vs frozen E2 (max|diff| CDI 5.9e-14; bootstrap summary bit-identical, PCG64 stream); labels REPRESENTATION_SENSITIVITY + DESCRIPTIVE_CONCORDANCE_INFERENTIAL_NONPORTABILITY (ex ante Pearson>=0.80 rule, robust at 0.70/0.90); concordance Pearson pooled/between/within = 0.9188768253453756 / 0.9523071017675403 / 0.9142543090955945; Spearman = 0.9107249510601835 / 0.9301586936649048 / 0.909869492123778; Wald chi2(1)=3.2146424170855865; Wald95=[-0.0052608787,0.1182097652]; CDI* bootstrap BCa=[-0.0008551947,0.0254410466]; CI=BCa consumer-cluster bootstrap B=2000 seed=20260915",60423,242771,hhi,entropy,-3.656560970861095,0.03215529123023166,-3.7130354141126705,0.009437767909970035,6.54490663896528e-05,0.05647444325157558,0.03149819176467386,-0.003936528648651492,0.11710714928231931,0.01226884056125933,0.07298213615857002,2000,20260915,hhi,none,none,MIN_RECORDS=20; >= 3 valid waves,new_result_sensitivity
Optional selection audit,PHASE6_IPW,PENDING_NOT_EXECUTED: optional module; requires source-population selection predictors; upstream phases prioritized; IPW cannot solve survivorship of excluded consumers (work-order 6.2),,,IPW reweighting,,,,,,,,,,,,,,,,,,,blocked_pending
Integrity audit follow-up,STUDY3_GENDER_RERUN,"Study 3 sex-codebook-corrected rerun (0=male vs 1=female; sex=2 undisclosed excluded; Welch primary). Main report (age-valid sex01, N=13,081): male N=10945 mean=4.279861107754434 SD=0.9539841877199534 vs female N=2136 mean=4.00228504499135 SD=0.9895183819926543; diff(M-F)=+0.27757606276308433 [0.23194652480252342, 0.32320560072364524]; Welch t=11.927834505254575 df=2960.7909435009124 p=4.545821903128779e-32; Cohen d=0.2891795087751063. QA-only: Student t=12.225188098325946 (p=3.5036570291142614e-34); MWU=13644759.5 (p=1.682245631207653e-34). Backup (full sample sex01, N=14,084): diff=+0.2807507505726523 [0.23695979864052596, 0.32454170250477865], Welch t=12.5703117529742 df=3257.0728885519193 p=2.0157628254154573e-35, d=0.29140568275574147. Dual-path recheck PASS (scipy vs manual, |df gap|=9.1e-13). Source: 02_integrity_audits/p0_correction/study3_gender_rerun_results.csv",,13081,sex (0=male vs 1=female),Study 3 preference score,,,,,,,,,,,4.545821903128779e-32,,,"n/a (two-group comparison, not a REWB spec)",none,none,"age-valid effective sample, sex in {0,1} (sex=2 undisclosed n=10,563 excluded)",integrity_audit_rerun_result
